t1,d1,s1,s2,s3,s4,s5,s6,s7,b1,b2,n1,n2,n3
69,2014/8/1,13,17,20,22,28,29,37,11,12,1,8億円！,4億円
68,2014/7/25,02,07,13,15,24,34,35,12,23,1,8億円！,8億円
67,2014/7/18,07,11,15,17,18,25,35,06,33,0,該当なし,12億円
66,2014/7/11,01,11,25,28,31,33,37,03,20,0,該当なし,8億円
65,2014/7/4,04,07,12,22,23,24,28,25,34,0,該当なし,5億円
64,2014/6/27,04,15,16,17,20,29,36,19,26,0,該当なし,2億円
63,2014/6/20,04,08,19,24,28,30,32,12,37,1,5億2434万円,0円
62,2014/6/13,04,10,12,15,27,32,33,09,16,0,該当なし,2億円
61,2014/6/6,05,10,11,21,28,31,37,13,14,1,2億3198万円,0円
60,2014/5/30,03,07,09,15,16,23,34,05,33,1,6億3692万円,0円
59,2014/5/23,05,08,12,13,21,30,35,27,34,0,該当なし,3億円
58,2014/5/16,01,06,07,08,23,32,33,11,34,1,8億円！,7千万円
57,2014/5/9,05,06,12,16,17,20,33,08,32,0,該当なし,5億円
56,2014/5/2,04,23,26,27,28,32,36,29,30,0,該当なし,2億円
55,2014/4/25,04,12,14,17,23,30,36,13,33,1,5億3663万円,0円
54,2014/4/18,01,03,05,10,18,22,23,07,35,0,該当なし,2億円
53,2014/4/11,01,04,14,16,20,33,36,12,30,2,4億2472万円,0円
52,2014/4/4,08,10,22,24,26,32,34,05,09,0,該当なし,5億円
51,2014/3/28,01,04,05,08,20,23,35,15,33,0,該当なし,2億円
50,2014/3/21,03,04,07,08,15,24,29,11,16,2,1億1299万円,0円
49,2014/3/14,08,11,12,17,24,26,27,14,21,1,2億3757万円,0円
48,2014/3/7,03,05,24,26,29,30,34,08,35,1,2億4097万円,0円
47,2014/2/28,02,09,11,14,20,21,36,06,15,2,4億1163万円,0円
46,2014/2/21,02,05,06,15,23,27,30,04,35,1,8億円！,5億円
45,2014/2/14,01,02,09,18,21,27,33,25,31,0,該当なし,9億円
44,2014/2/7,03,04,06,15,27,28,29,01,14,0,該当なし,6億円
43,2014/1/31,04,06,07,08,24,31,37,05,13,0,該当なし,3億円
42,2014/1/24,02,15,16,17,23,31,33,08,26,1,5億6483万円,0円
41,2014/1/17,02,03,08,15,34,35,36,25,28,0,該当なし,2億円
40,2014/1/10,02,06,11,23,26,31,34,07,20,1,2億8125万円,0円
39,2013/12/27,07,13,19,23,25,26,30,01,18,1,2億7933万円,0円
38,2013/12/20,04,14,19,22,24,29,34,08,31,1,3億2367万円,0円
37,2013/12/131,07,08,10,13,14,19,37,29,33,1,8億円！,3千万円
36,2013/12/6,05,06,10,11,20,28,36,25,37,1,8億円！,5億円
35,2013/11/29,01,16,18,19,25,30,34,26,36,0,該当なし,9億円
34,2013/11/22,04,06,07,23,24,32,35,08,27,0,該当なし,6億円
33,2013/11/15,01,04,17,24,29,33,36,19,30,0,該当なし,3億円
32,2013/11/8,03,08,15,18,27,29,37,31,34,3,2億2574万円,0円
31,2013/11/1,09,12,13,19,23,33,34,20,32,1,8億円！,3億円
30,2013/10/25,06,08,13,22,26,32,36,16,34,0,該当なし,7億円
29,2013/10/18,02,03,16,17,24,26,28,15,31,0,該当なし,4億円
28,2013/10/11,06,07,12,15,19,35,37,01,11,1,8億円！,6千万円
27,2013/10/4,01,10,11,14,17,18,28,25,26,0,該当なし,5億円
26,2013/9/27,11,13,16,18,26,31,36,21,27,0,該当なし,2億円
25,2013/9/20,01,06,11,16,17,18,21,10,24,2,2億8822万円,0円
24,2013/9/13,04,05,08,10,16,19,33,02,29,0,該当なし,3億円
23,2013/9/6,04,08,11,25,28,29,30,14,32,1,7億4647万円,0円
22,2013/8/30,02,04,08,09,15,23,25,03,10,0,該当なし,4億円
